Frame,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,
,SpineBase,SpineBase,SpineMid,SpineMid,Neck ,Neck ,Head,Head,ShoulderLeft,ShoulderLeft,ElbowLeft,ElbowLeft,WristLeft,WristLeft,HandLeft,HandLeft,ShoulderRight,ShoulderRight,ElbowRight,ElbowRight,WristRight,WristRight,HandRight,HandRight,HipLeft,HipLeft,KneeLeft,KneeLeft,AnkleLeft,AnkleLeft,FootLeft ,FootLeft ,HipRight  ,HipRight  ,KneeRight  ,KneeRight  ,AnkleRight,AnkleRight,FootRight ,FootRight ,Position
0,175,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,343,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,399,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,367,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,356,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,238,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,122,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,176,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,136,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,303,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,480,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,394,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,398,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
13,257,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,256,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,245,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,220,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,160,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,122,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,128,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
